Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined
FDC29,8.39,1,0.024304264,5,114.0176,OUT018,1,2,2,1488.7288,12,1
FDY58,11.65,0,0.040144377,13,228.9694,OUT017,1,1,1,6622.7126,14,1
FDR59,14.5,1,0.063851475,1,260.4594,OUT035,2,1,1,3139.9128,17,1
FDS03,12.792854228644284,0,0.079243005,10,65.8826,OUT027,1,2,3,1614.565,36,1
FDR43,18.2,0,0.161355122,6,38.319,OUT013,0,2,1,585.904,34,1
FDZ25,12.792854228644284,1,0.02748331,3,169.379,OUT027,1,2,3,5602.707,36,1
NCN26,10.85,0,0.028738058,9,117.1808,OUT045,1,1,1,703.0848,19,2
FDO38,17.25,0,0.073135768,3,77.2986,OUT018,1,2,2,1012.6818,12,1
FDP28,13.65,1,0.081096613,5,261.2936,OUT017,1,1,1,3131.9232,14,1
FDG31,12.15,0,0.063430788,10,65.4826,OUT010,1,2,0,258.3304,23,1
FDI45,13.1,0,0.037549969,6,176.1054,OUT013,0,2,1,4027.4242,34,1
NCS54,13.6,0,0.016726506,9,176.037,OUT010,1,2,0,352.874,23,2
FDE17,20.1,1,0.054565932,5,152.2366,OUT045,1,1,1,2418.1856,19,1
NCG06,16.35,0,0.029445361,9,257.6646,OUT046,2,0,1,2061.3168,24,2
FDQ57,12.792854228644284,0,0.048932713,13,144.476,OUT019,2,0,0,146.476,36,1
NCB31,6.235,0,0.118651919,9,263.991,OUT035,2,1,1,4207.856,17,2
NCP29,8.42,0,0.112728355,8,65.8168,OUT018,1,2,2,830.9184,12,2
NCX29,12.792854228644284,0,0.156094569,8,144.3102,OUT019,2,0,0,145.8102,36,2
FDU37,9.5,1,0.104933928,3,78.796,OUT018,1,2,2,1198.44,12,1
FDM02,12.5,1,0.12341737,3,86.0198,OUT010,1,2,0,87.2198,23,1
FDN16,12.6,1,0.062700289,5,102.199,OUT046,2,0,1,1960.781,24,1
FDR46,16.85,0,0.139417654,13,147.476,OUT046,2,0,1,2929.52,24,1
FDE50,12.792854228644284,1,0.01612717,3,189.3556,OUT027,1,2,3,2253.0672,36,1
FDL52,6.635,1,0.077145553,5,39.8506,OUT010,1,2,0,75.9012,23,1
FDQ49,20.2,1,0.039215075,2,157.663,OUT013,0,2,1,2190.482,34,1
FDI14,14.1,0,0.089859642,3,140.2496,OUT045,1,1,1,1693.7952,19,1
FDS16,15.15,1,0.066121873,5,145.676,OUT013,0,2,1,3661.9,34,1
FDU15,13.65,1,0.026643448,10,37.9532,OUT049,1,0,1,862.8768,22,1
NCG43,12.792854228644284,0,0.073879939,9,94.0462,OUT027,1,2,3,1850.924,36,2
FDR23,12.792854228644284,0,0.08139146,1,177.837,OUT027,1,2,3,6351.732,36,1
FDS52,12.792854228644284,0,0.005448005,5,102.1016,OUT027,1,2,3,3542.056,36,1
NCP18,12.15,0,0.028714747,9,151.9708,OUT018,1,2,2,3611.2992,12,2
DRF23,12.792854228644284,0,0.122058364,7,172.8396,OUT027,1,2,3,7152.0236,36,0
FDO09,13.5,1,0.125528734,13,262.191,OUT045,1,1,1,6048.793,19,1
FDB40,17.5,1,0.007555176,4,145.9102,OUT045,1,1,1,2187.153,19,1
DRK37,12.792854228644284,0,0.077046505,14,189.453,OUT019,2,0,0,759.012,36,0
DRN11,7.85,0,0.162980276,7,145.2444,OUT046,2,0,1,1451.444,24,0
FDE22,9.695,0,0.029632784,13,159.692,OUT045,1,1,1,958.752,19,1
FDF04,17.5,0,0.013634468,5,256.4304,OUT035,2,1,1,1808.3128,17,1
FDE41,9.195,1,0.064376263,5,83.1566,OUT017,1,1,1,1099.2358,14,1
FDW08,12.792854228644284,0,0.147663025,6,106.028,OUT027,1,2,3,1810.976,36,1
NCD54,21.1,0,0.029003459,9,143.4786,OUT035,2,1,1,2311.6576,17,2
FDZ33,10.195,0,0.107834541,13,146.5076,OUT018,1,2,2,1330.2684,12,1
FDO23,17.85,0,0.146399663,1,93.8436,OUT035,2,1,1,1418.154,17,1
FDN34,15.6,1,0.04575559,13,167.1132,OUT035,2,1,1,2874.9244,17,1
FDL39,16.1,1,0.063278652,4,182.1318,OUT013,0,2,1,2345.6134,34,1
FDT28,13.3,0,0.063664998,5,151.6708,OUT049,1,0,1,3912.2408,22,1
FDH33,12.85,0,0.122221269,13,45.9428,OUT018,1,2,2,1274.3412,12,1
FDA34,11.5,0,0.014944614,15,171.808,OUT017,1,1,1,5712.564,14,1
FDZ56,16.25,0,0.025732114,6,166.4474,OUT035,2,1,1,5390.3168,17,1
DRH23,14.65,0,0.171281641,7,54.0614,OUT017,1,1,1,1160.4894,14,0
NCO18,13.15,0,0.024646608,9,177.4686,OUT035,2,1,1,5510.8266,17,2
DRG27,8.895,0,0.0,4,42.0138,OUT018,1,2,2,568.5932,12,0
FDM28,15.7,0,0.075661985,5,181.366,OUT010,1,2,0,179.766,23,1
NCY41,16.75,0,0.126765903,8,35.7532,OUT010,1,2,0,143.8128,23,2
FDD21,10.3,1,0.030563449,6,114.4176,OUT035,2,1,1,2633.9048,17,1
FDD44,8.05,1,0.078522357,6,257.1646,OUT049,1,0,1,6183.9504,22,1
FDP16,18.6,0,0.039294854,5,246.6802,OUT046,2,0,1,2702.4822,24,1
FDQ37,20.75,0,0.089260667,2,193.4478,OUT046,2,0,1,4843.695,24,1
NCY05,13.5,0,0.05510153,8,37.0874,OUT045,1,1,1,952.7598,19,2
NCE07,8.18,0,0.013127548,9,142.0154,OUT035,2,1,1,1985.4156,17,2
DRI51,17.25,0,0.042233642,4,173.3764,OUT035,2,1,1,2061.3168,17,0
NCI31,20.0,0,0.081492092,11,35.519,OUT045,1,1,1,1025.332,19,2
FDK60,16.5,1,0.0,0,96.2068,OUT046,2,0,1,3013.4108,24,1
FDY12,9.8,1,0.14061104,0,49.8008,OUT046,2,0,1,809.6128,24,1
FDO38,17.25,0,0.072952298,3,76.0986,OUT049,1,0,1,623.1888,22,1
FDP11,15.85,0,0.069087481,1,218.7166,OUT035,2,1,1,1088.583,17,1
FDC21,12.792854228644284,1,0.075215349,6,108.4254,OUT019,2,0,0,217.0508,36,1
NCF54,18.0,0,0.047645037,9,172.6422,OUT017,1,1,1,2931.5174,14,2
FDC35,12.792854228644284,0,0.122242847,15,207.5638,OUT027,1,2,3,4555.4036,36,1
FDV43,16.0,0,0.076975118,6,46.2086,OUT049,1,0,1,490.6946,22,1
DRE12,4.59,0,0.070890602,14,111.686,OUT049,1,0,1,1584.604,22,0
DRE27,11.85,0,0.132560174,4,97.2726,OUT013,0,2,1,782.9808,34,0
DRC36,12.792854228644284,1,0.044767032,14,173.7054,OUT027,1,2,3,5778.4782,36,0
FDZ38,12.792854228644284,0,0.007962273,4,174.0422,OUT027,1,2,3,5173.266,36,1
NCW42,18.2,0,0.058799705,9,220.7456,OUT017,1,1,1,4420.912,14,2
NCZ18,7.825,0,0.186445212,9,255.5698,OUT045,1,1,1,1522.0188,19,2
FDL13,12.792854228644284,1,0.098606543,2,232.73,OUT019,2,0,0,932.12,36,1
NCN18,8.895,0,0.125222705,9,113.3544,OUT018,1,2,2,1006.6896,12,2
FDI41,18.5,1,0.062609071,5,148.6418,OUT017,1,1,1,1765.7016,14,1
FDV22,14.85,1,0.009930514,13,157.463,OUT013,0,2,1,2503.408,34,1
NCB43,12.792854228644284,0,0.099428487,9,187.8898,OUT027,1,2,3,7296.5022,36,2
FDQ46,7.51,0,0.103793399,13,110.1544,OUT035,2,1,1,2684.5056,17,1
FDC44,15.6,0,0.0,6,111.9518,OUT049,1,0,1,2163.1842,22,1
FDB22,8.02,0,0.111419588,13,154.3998,OUT035,2,1,1,3383.5956,17,1
FDV23,11.0,0,0.106051405,1,124.4046,OUT045,1,1,1,2241.0828,19,1
FDK10,12.792854228644284,1,0.04016342,13,181.166,OUT027,1,2,3,3415.554,36,1
FDF05,17.5,0,0.026925385,5,264.391,OUT045,1,1,1,5259.82,19,1
FDL33,7.235,0,0.099962524,13,193.8452,OUT046,2,0,1,1957.452,24,1
FDD20,12.792854228644284,0,0.020614212,6,126.4046,OUT027,1,2,3,5353.6978,36,1
NCM54,12.792854228644284,0,0.050692386,9,125.6678,OUT027,1,2,3,4832.3764,36,2
FDW48,18.0,0,0.008589133,0,81.0618,OUT017,1,1,1,1450.1124,14,1
DRF36,16.1,0,0.023673342,14,189.0846,OUT018,1,2,2,5350.3688,12,0
NCM06,7.475,0,0.075881475,9,155.2656,OUT045,1,1,1,2934.8464,19,2
NCA54,16.5,0,0.061330521,9,178.7318,OUT010,1,2,0,360.8636,23,2
FDT46,11.35,0,0.030869612,13,49.8008,OUT045,1,1,1,708.4112,19,1
FDH20,16.1,1,0.024944396,6,95.441,OUT035,2,1,1,2220.443,17,1
FDT38,18.7,0,0.057654132,4,83.1566,OUT045,1,1,1,1606.5754,19,1
NCI17,8.645,0,0.143713508,8,96.641,OUT045,1,1,1,868.869,19,2
FDO40,17.1,0,0.032812669,5,147.1392,OUT017,1,1,1,2237.088,14,1
FDP12,9.8,1,0.045266806,0,36.9874,OUT046,2,0,1,705.748,24,1
FDI44,12.792854228644284,0,0.099747488,6,75.2328,OUT027,1,2,3,1544.656,36,1
FDB21,12.792854228644284,0,0.0,6,242.9854,OUT027,1,2,3,6767.1912,36,1
FDG16,15.25,0,0.089742065,5,213.7192,OUT013,0,2,1,1078.596,34,1
NCZ42,10.5,0,0.011351778,9,236.5248,OUT017,1,1,1,4029.4216,14,2
NCJ30,5.82,0,0.081096613,9,170.379,OUT017,1,1,1,1018.674,14,2
FDV49,10.0,0,0.025827199,3,263.2226,OUT046,2,0,1,3700.5164,24,1
NCO43,5.5,0,0.0,11,103.1016,OUT045,1,1,1,2024.032,19,2
NCF18,18.35,0,0.148938624,9,191.9504,OUT010,1,2,0,767.0016,23,2
NCX41,19.0,0,0.0,8,211.0244,OUT010,1,2,0,1482.0708,23,2
FDY11,6.71,1,0.029535852,0,67.5142,OUT013,0,2,1,593.2278,34,1
FDU46,10.3,1,0.011143599,13,88.254,OUT049,1,0,1,1125.202,22,1
NCI18,18.35,0,0.014045832,9,222.7746,OUT049,1,0,1,1570.6222,22,2
FDL38,13.8,1,0.014730322,3,90.9172,OUT035,2,1,1,2141.2128,17,1
FDY60,10.5,1,0.026520107,0,144.8128,OUT017,1,1,1,2157.192,14,1
FDF53,20.75,1,0.083736551,5,178.7318,OUT049,1,0,1,3428.2042,22,1
NCM05,12.792854228644284,0,0.059557164,8,263.7226,OUT027,1,2,3,6872.3876,36,2
FDR13,9.895,1,0.028837829,3,117.8492,OUT018,1,2,2,1506.0396,12,1
FDA49,12.792854228644284,0,0.113669629,3,89.0198,OUT019,2,0,0,174.4396,36,1
FDY52,12.792854228644284,0,0.012865901,5,59.3536,OUT019,2,0,0,122.5072,36,1
FDL02,12.792854228644284,1,0.182236555,3,107.1622,OUT019,2,0,0,211.7244,36,1
FDO24,11.1,0,0.176069023,0,156.7604,OUT013,0,2,1,1901.5248,34,1
FDM08,10.1,1,0.053574075,6,223.7088,OUT035,2,1,1,2684.5056,17,1
FDJ02,12.792854228644284,1,0.044063785,3,147.2418,OUT019,2,0,0,294.2836,36,1
FDW40,14.0,1,0.105573769,5,143.9812,OUT018,1,2,2,1139.8496,12,1
FDT46,12.792854228644284,0,0.030657949,13,50.5008,OUT027,1,2,3,1012.016,36,1
FDY08,9.395,1,0.172042892,6,139.9838,OUT017,1,1,1,1966.7732,14,1
FDM21,12.792854228644284,0,0.064052392,13,256.1646,OUT027,1,2,3,7472.2734,36,1
FDH26,12.792854228644284,1,0.034531702,3,142.2496,OUT027,1,2,3,2399.5432,36,1
NCM42,6.13,0,0.028365524,9,110.0912,OUT049,1,0,1,1637.868,22,2
FDW13,8.5,0,0.097866209,3,51.1324,OUT035,2,1,1,1350.2424,17,1
FDN04,12.792854228644284,1,0.01401884,5,178.1344,OUT027,1,2,3,3747.1224,36,1
NCD07,9.1,0,0.0,9,114.4518,OUT046,2,0,1,1593.9252,24,2
FDB34,15.25,0,0.044539371,13,85.3198,OUT010,1,2,0,261.6594,23,1
FDD09,13.5,0,0.0,6,179.9976,OUT013,0,2,1,4889.6352,34,1
DRH59,10.8,0,0.0,7,72.338,OUT049,1,0,1,805.618,22,0
DRN36,15.2,0,0.050168354,14,95.3752,OUT035,2,1,1,1438.128,17,0
DRA24,19.35,1,0.040154087,14,164.6868,OUT017,1,1,1,1146.5076,14,0
FDY36,12.792854228644284,0,0.009364957,0,74.238,OUT027,1,2,3,1171.808,36,1
FDG34,11.5,1,0.037539164,13,106.9254,OUT013,0,2,1,3038.7112,34,1
FDK43,9.8,0,0.026992588,10,127.302,OUT017,1,1,1,2277.036,14,1
NCM06,7.475,0,0.076156245,9,156.4656,OUT017,1,1,1,2008.0528,14,2
FDK22,9.8,0,0.026192765,13,215.685,OUT018,1,2,2,649.155,12,1
FDF21,12.792854228644284,1,0.058542509,6,188.353,OUT027,1,2,3,4364.319,36,1
FDO33,14.75,0,0.089686322,13,115.3518,OUT018,1,2,2,1821.6288,12,1
NCO43,5.5,0,0.047364617,11,100.0016,OUT017,1,1,1,708.4112,14,2
FDX15,17.2,0,0.156269303,10,159.6578,OUT035,2,1,1,3048.6982,17,1
FDS10,19.2,0,0.035185588,13,181.3318,OUT046,2,0,1,1443.4544,24,1
FDD46,12.792854228644284,0,0.247321039,13,152.3998,OUT019,2,0,0,153.7998,36,1
FDV22,14.85,1,0.009979271,13,155.763,OUT018,1,2,2,3129.26,12,1
NCR29,7.565,0,0.054863459,8,58.393,OUT018,1,2,2,509.337,12,2
FDU34,18.25,0,0.075620262,13,123.8046,OUT017,1,1,1,3486.1288,14,1
FDZ35,9.6,1,0.02236923,1,104.799,OUT018,1,2,2,1341.587,12,1
FDA26,7.855,1,0.073906461,4,218.4482,OUT035,2,1,1,4819.0604,17,1
FDP38,10.1,0,0.032283676,3,52.2008,OUT017,1,1,1,759.012,14,1
FDT22,10.395,0,0.11207602,13,58.022,OUT035,2,1,1,659.142,17,1
FDA50,16.25,0,0.087668236,4,94.941,OUT017,1,1,1,1737.738,14,1
FDY10,17.6,0,0.049067877,13,115.6176,OUT046,2,0,1,2519.3872,24,1
FDC09,15.5,1,0.026355345,6,100.8332,OUT045,1,1,1,1537.998,19,1
FDT19,7.59,1,0.145631695,6,172.808,OUT018,1,2,2,2250.404,12,1
FDO34,12.792854228644284,0,0.029793955,13,167.2816,OUT027,1,2,3,5704.5744,36,1
NCV54,11.1,0,0.033160417,9,119.6124,OUT049,1,0,1,2251.7356,22,2
FDH57,12.792854228644284,0,0.035574413,6,131.4284,OUT027,1,2,3,5404.9644,36,1
FDA28,16.1,1,0.047801883,5,127.4362,OUT046,2,0,1,2265.0516,24,1
FDB05,5.155,0,0.083198341,5,246.0776,OUT046,2,0,1,990.7104,24,1
FDK45,12.792854228644284,0,0.059281315,12,111.586,OUT019,2,0,0,339.558,36,1
DRH01,12.792854228644284,0,0.171417316,14,173.0738,OUT019,2,0,0,347.5476,36,0
FDY52,6.365,0,0.007348286,5,62.8536,OUT046,2,0,1,796.2968,24,1
FDR48,11.65,0,0.0,0,152.6024,OUT035,2,1,1,303.6048,17,1
FDY15,18.25,1,0.170795745,4,154.463,OUT035,2,1,1,2190.482,17,1
FDM51,11.8,1,0.025966531,10,102.2674,OUT049,1,0,1,2444.8176,22,1
FDR43,18.2,0,0.161489509,6,37.619,OUT046,2,0,1,366.19,24,1
FDW09,13.65,1,0.025899245,13,81.1302,OUT013,0,2,1,792.302,34,1
FDV44,8.365,1,0.039906377,6,191.3188,OUT049,1,0,1,1713.7692,22,1
DRH37,12.792854228644284,0,0.072864869,14,165.2526,OUT019,2,0,0,822.263,36,0
FDZ47,20.7,1,0.079419755,0,99.8042,OUT049,1,0,1,1488.063,22,1
NCP43,17.75,0,0.03050705,11,180.366,OUT046,2,0,1,2336.958,24,2
FDL26,18.0,0,0.073490977,3,157.3972,OUT018,1,2,2,778.986,12,1
DRM35,9.695,0,0.070843019,7,177.7344,OUT017,1,1,1,1605.9096,14,0
FDM39,6.42,0,0.053688479,4,178.3002,OUT018,1,2,2,2328.3026,12,1
DRD15,10.6,0,0.056911107,4,233.9642,OUT045,1,1,1,3717.8272,19,0
NCK06,5.03,0,0.014472516,9,122.0756,OUT010,1,2,0,121.1756,23,2
FDV04,7.825,1,0.150319469,5,156.9288,OUT045,1,1,1,1571.288,19,1
FDG46,12.792854228644284,1,0.032750291,13,112.1518,OUT027,1,2,3,5351.0346,36,1
FDO19,17.7,1,0.016622448,6,50.2034,OUT049,1,0,1,1166.4816,22,1
NCN05,8.235,0,0.014482153,8,182.295,OUT049,1,0,1,3661.9,22,2
DRA12,11.6,0,0.0,14,141.6154,OUT045,1,1,1,3829.0158,19,0
FDJ02,17.2,1,0.025205909,3,149.1418,OUT049,1,0,1,1177.1344,22,1
NCK17,11.0,0,0.037971697,8,38.948,OUT045,1,1,1,519.324,19,2
FDO58,19.6,0,0.039544237,13,163.6526,OUT013,0,2,1,1151.1682,34,1
FDB22,8.02,0,0.111613921,13,152.6998,OUT049,1,0,1,3383.5956,22,1
FDG33,5.365,1,0.140524691,12,172.7764,OUT045,1,1,1,2233.0932,19,1
FDK58,11.35,1,0.045073782,13,101.9016,OUT045,1,1,1,2631.2416,19,1
DRH49,12.792854228644284,0,0.043168763,14,82.8592,OUT019,2,0,0,165.1184,36,0
FDT43,16.35,0,0.020547951,6,51.2324,OUT046,2,0,1,571.2564,24,1
NCR38,17.25,0,0.113694957,9,253.4724,OUT049,1,0,1,6040.1376,22,2
DRI39,13.8,0,0.097043739,4,57.493,OUT035,2,1,1,1358.232,17,0
NCZ05,8.485,0,0.058121214,8,104.499,OUT035,2,1,1,1238.388,17,2
FDU21,11.8,1,0.07665661,13,32.3558,OUT013,0,2,1,169.779,34,1
NCP54,15.35,0,0.035204319,9,122.873,OUT049,1,0,1,2832.979,22,2
NCX29,10.0,0,0.089333332,8,145.6102,OUT045,1,1,1,2624.5836,19,2
FDV01,19.2,1,0.0,3,153.3314,OUT017,1,1,1,3257.7594,14,1
NCS17,18.6,0,0.080956792,8,95.2436,OUT017,1,1,1,1796.3284,14,2
NCN07,18.5,0,0.03391645,11,130.9284,OUT013,0,2,1,1713.7692,34,2
FDB14,20.25,1,0.102704495,3,94.312,OUT035,2,1,1,2982.784,17,1
NCJ18,12.35,0,0.163910938,9,119.2124,OUT035,2,1,1,1303.6364,17,2
FDF57,14.5,1,0.058827383,6,172.2448,OUT046,2,0,1,2897.5616,24,1
DRG01,14.8,0,0.044840933,14,78.367,OUT013,0,2,1,918.804,34,0
FDA02,14.0,1,0.029843736,4,143.9786,OUT018,1,2,2,866.8716,12,1
DRJ37,10.8,0,0.061446997,14,150.4024,OUT017,1,1,1,2884.2456,14,0
NCP55,14.65,0,0.011180713,11,53.8614,OUT013,0,2,1,221.0456,34,2
FDW45,12.792854228644284,0,0.038822077,13,147.7418,OUT027,1,2,3,1618.5598,36,1
FDK38,6.65,0,0.053397989,3,149.3734,OUT045,1,1,1,296.9468,19,1
NCZ30,6.59,0,0.043828293,9,121.4098,OUT010,1,2,0,241.0196,23,2
FDK08,12.792854228644284,1,0.214139786,6,102.4016,OUT019,2,0,0,202.4032,36,1
DRY23,9.395,1,0.109075742,14,42.9112,OUT035,2,1,1,426.112,17,0
FDT31,19.75,0,0.012448294,6,188.2872,OUT046,2,0,1,2647.2208,24,1
FDU52,7.56,0,0.064030636,5,154.463,OUT018,1,2,2,2503.408,12,1
NCG19,20.25,0,0.14781046,9,234.8616,OUT013,0,2,1,2812.3392,34,2
NCR30,20.6,0,0.071136948,9,76.3696,OUT045,1,1,1,372.848,19,2
FDN23,6.575,1,0.07566089,1,145.4444,OUT045,1,1,1,2612.5992,19,1
FDQ01,19.7,1,0.16102755,3,254.1014,OUT045,1,1,1,4845.0266,19,1
FDO22,13.5,1,0.029893094,13,81.096,OUT010,1,2,0,159.792,23,1
DRE13,6.28,0,0.027761289,14,85.8198,OUT045,1,1,1,872.198,19,0
FDL44,18.25,0,0.012272797,6,160.2894,OUT035,2,1,1,3235.788,17,1
FDT34,9.3,0,0.174317307,13,106.7964,OUT035,2,1,1,841.5712,17,1
DRM23,16.6,0,0.135707553,7,170.6422,OUT035,2,1,1,1379.5376,17,0
FDF32,16.35,0,0.068219025,6,198.9426,OUT045,1,1,1,3559.3668,19,1
NCE18,10.0,0,0.021468792,9,251.675,OUT045,1,1,1,4244.475,19,2
FDA51,12.792854228644284,1,0.163882129,4,113.2518,OUT027,1,2,3,3415.554,36,1
DRZ24,7.535,0,0.082250143,14,118.344,OUT017,1,1,1,3115.944,14,0
FDT48,4.92,0,0.046026479,0,196.5084,OUT049,1,0,1,3769.7596,22,1
DRG11,6.385,0,0.0,7,108.9596,OUT046,2,0,1,1186.4556,24,0
FDE58,18.5,0,0.052149675,13,118.3124,OUT049,1,0,1,1540.6612,22,1
DRA12,11.6,0,0.040911824,14,142.3154,OUT013,0,2,1,2552.6772,34,0
FDP60,17.35,0,0.056235142,0,102.0016,OUT017,1,1,1,1619.2256,14,1
FDT10,16.7,1,0.062170334,13,60.9562,OUT045,1,1,1,829.5868,19,1
FDE05,10.895,1,0.032427039,5,147.7102,OUT013,0,2,1,1166.4816,34,1
FDC32,18.35,0,0.099309997,6,91.4462,OUT045,1,1,1,1665.8316,19,1
FDJ22,18.75,0,0.05310896,13,193.6504,OUT017,1,1,1,2876.256,14,1
NCH18,9.3,0,0.044843161,9,246.1802,OUT018,1,2,2,2702.4822,12,2
DRE37,12.792854228644284,0,0.164966345,14,189.4872,OUT019,2,0,0,189.0872,36,0
DRC13,8.26,1,0.032435437,14,124.873,OUT035,2,1,1,2956.152,17,0
FDG47,12.8,0,0.06961884,15,260.3252,OUT046,2,0,1,8132.0812,24,1
FDY55,16.75,0,0.08165147,6,258.3988,OUT018,1,2,2,1541.9928,12,1
NCW29,12.792854228644284,0,0.028723187,8,131.831,OUT027,1,2,3,3635.268,36,2
NCT05,10.895,0,0.020994339,8,255.6672,OUT045,1,1,1,4346.3424,19,2
FDN50,16.85,1,0.026561057,3,93.712,OUT049,1,0,1,466.06,22,1
FDU60,20.0,1,0.100262068,0,169.6132,OUT010,1,2,0,169.1132,23,1
FDX02,16.0,0,0.057012606,4,225.0404,OUT013,0,2,1,5851.0504,34,1
FDL34,16.0,0,0.041009558,13,141.2496,OUT049,1,0,1,2681.8424,22,1
DRF27,8.93,0,0.028578012,4,152.234,OUT017,1,1,1,3828.35,14,0
FDZ35,9.6,1,0.0,1,101.699,OUT049,1,0,1,2373.577,22,1
DRF03,12.792854228644284,0,0.045088724,4,39.7138,OUT027,1,2,3,1096.5726,36,0
NCO41,12.792854228644284,0,0.018757586,8,96.9384,OUT027,1,2,3,2167.8448,36,2
FDQ59,9.8,1,0.056500895,1,85.8908,OUT045,1,1,1,1845.5976,19,1
NCZ53,9.6,0,0.024576875,8,186.6214,OUT018,1,2,2,1884.214,12,2
FDZ33,12.792854228644284,0,0.188038372,13,146.4076,OUT019,2,0,0,147.8076,36,1
FDD34,7.945,0,0.015908485,13,161.421,OUT045,1,1,1,3425.541,19,1
NCM06,7.475,0,0.075845634,9,156.0656,OUT049,1,0,1,1853.5872,22,2
FDY43,14.85,0,0.098803088,6,169.7474,OUT018,1,2,2,673.7896,12,1
DRM23,16.6,0,0.227189581,7,173.9422,OUT010,1,2,0,172.4422,23,0
FDT20,10.5,0,0.041459804,6,39.2164,OUT049,1,0,1,540.6296,22,1
FDG46,8.63,1,0.032882271,13,113.5518,OUT013,0,2,1,2732.4432,34,1
FDH10,21.0,0,0.049583899,13,193.8478,OUT017,1,1,1,1162.4868,14,1
FDF24,15.5,1,0.02536567,0,82.7934,OUT035,2,1,1,1228.401,17,1
FDG57,14.7,0,0.07229836,6,48.2034,OUT046,2,0,1,874.8612,24,1
FDN44,13.15,0,0.022924552,6,157.892,OUT017,1,1,1,1917.504,14,1
FDD32,17.7,1,0.040897932,6,82.6276,OUT013,0,2,1,731.0484,34,1
FDI04,12.792854228644284,1,0.127660257,5,198.5426,OUT019,2,0,0,790.9704,36,1
FDA56,9.21,0,0.008764786,6,123.1414,OUT046,2,0,1,4264.449,24,1
DRG51,12.1,0,0.011604894,4,166.0526,OUT017,1,1,1,1480.0734,14,0
FDZ04,9.31,0,0.038169783,5,64.551,OUT017,1,1,1,1581.275,14,1
FDT13,14.85,0,0.018568129,3,188.2214,OUT035,2,1,1,3014.7424,17,1
FDY56,12.792854228644284,1,0.062109174,6,223.7062,OUT027,1,2,3,4965.5364,36,1
FDB51,6.92,0,0.038671588,4,64.2852,OUT017,1,1,1,438.0964,14,1
NCY29,13.65,0,0.077169841,8,55.593,OUT013,0,2,1,282.965,34,2
FDL34,16.0,0,0.041028937,13,142.6496,OUT045,1,1,1,1834.9448,19,1
NCQ38,16.35,0,0.013387211,11,105.628,OUT049,1,0,1,1065.28,22,2
NCR41,12.792854228644284,0,0.017936715,8,93.7094,OUT027,1,2,3,4189.2136,36,2
FDY24,4.88,1,0.223440258,0,52.2298,OUT010,1,2,0,161.7894,23,1
NCA42,6.965,0,0.0,9,159.6604,OUT045,1,1,1,3327.6684,19,2
FDB11,16.0,0,0.060942632,15,225.6404,OUT049,1,0,1,2925.5252,22,1
FDG26,18.85,0,0.042641788,3,257.833,OUT035,2,1,1,5382.993,17,1
FDH24,20.7,0,0.021427082,0,156.5288,OUT035,2,1,1,1571.288,17,1
FDX44,9.3,0,0.042930789,6,88.5172,OUT013,0,2,1,1427.4752,34,1
FDT52,9.695,1,0.047697859,5,244.6144,OUT017,1,1,1,2695.1584,14,1
FDT04,17.25,0,0.10764721,5,39.3822,OUT017,1,1,1,314.2576,14,1
FDO58,19.6,0,0.039577173,13,166.1526,OUT046,2,0,1,2960.1468,24,1
FDR60,14.3,0,0.130415118,0,75.9328,OUT046,2,0,1,1158.492,24,1
NCL54,12.6,0,0.082921642,9,175.2054,OUT045,1,1,1,3502.108,19,2
FDW50,13.1,0,0.075515154,4,167.2158,OUT013,0,2,1,3008.0844,34,1
FDK43,12.792854228644284,0,0.046994717,10,125.802,OUT019,2,0,0,253.004,36,1
FDQ32,17.85,1,0.04679836,6,123.8388,OUT018,1,2,2,866.8716,12,1
FDE29,8.905,0,0.143129124,5,58.8878,OUT046,2,0,1,1151.1682,24,1
NCN07,18.5,0,0.034013539,11,133.2284,OUT045,1,1,1,2768.3964,19,2
FDB37,20.25,1,0.022921735,0,240.7538,OUT013,0,2,1,3364.9532,34,1
FDD21,10.3,1,0.030616757,6,112.7176,OUT049,1,0,1,343.5528,22,1
FDX16,17.85,0,0.06575528,5,151.505,OUT013,0,2,1,2546.685,34,1
FDN46,7.21,1,0.144856342,13,100.5332,OUT049,1,0,1,1127.8652,22,1
FDV28,16.1,1,0.267352587,5,34.9558,OUT010,1,2,0,67.9116,23,1
FDR48,12.792854228644284,0,0.130867413,0,150.8024,OUT027,1,2,3,4402.2696,36,1
FDW37,12.792854228644284,0,0.123449671,3,89.7488,OUT027,1,2,3,1901.5248,36,1
FDV40,17.35,0,0.014689006,5,74.5038,OUT035,2,1,1,739.038,17,1
FDZ57,10.0,1,0.037918142,13,129.6994,OUT018,1,2,2,1413.4934,12,1
FDY46,18.6,0,0.047964395,13,185.0898,OUT049,1,0,1,2993.4368,22,1
FDX45,16.75,0,0.105018817,13,155.263,OUT049,1,0,1,1721.093,22,1
FDB33,17.75,0,0.014577412,6,160.7262,OUT035,2,1,1,2864.2716,17,1
FDT58,9.0,0,0.143870574,13,169.4816,OUT010,1,2,0,503.3448,23,1
